Кинотеатр,Город,Разряд,Количество мест,Количество сеансов в день,Институциональная принадлежность и характеристика,Цена билета,"Источники: разряд, количество мест, институциональная принадлежность",Источники: количество сеансов,Источники: цена билета
Салют,Москва,1,655,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Смена,Москва,2,430,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Спартак,Москва,2,376,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Стереокино,Москва,специализированный,166,"8,4",Управление кинофикации Мосгорисполкома,8,ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Изображение билета за 1950 год в московский кинотеатр Стереокино было найдено на интернет-аукционе ""Мешок"""
Таганский,Москва,1,879,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Театр киноактера,Москва,1,924,"8,4",Комитет по делам искусств,"4,5",РГАЛИ. Ф. 2456. Оп. 1. Д. 2162. Согласно отчету студии Киноактера за 1948 год,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Ударник,Москва,1,1587,"8,9",Главное управление кинофикации. Кинотеатр союзного подчинения,"4,14",РГАЛИ. Ф. 2471. Оп. 1. Д. 399.Согласно отчету за 1948 год,"Количество сеансов по кинотеатру ""Ударник"" отражено в годовом отчете: РГАЛИ. Ф. 2473. Оп. 1. Д. 505.","Цена на билет в кинотеатр ""Ударник"" отражена в годовом отчете: РГАЛИ. Ф. 2473. Оп. 1. Д. 505."
Уран,Москва,1,984,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Форум,Москва,1,1285,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Хроника,Москва,специализированный,296,"8,4",Управление кинофикации Мосгорисполкома,2,ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Художественный,Москва,1,1020,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Центральный,Москва,1,855,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
ЦПКиО им. Горького,Москва,1,757,"3,3",Управление кинофикации Мосгорисполкома. Сезонный,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по сезонным кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Указана средняя цена на билет в сезонные кинотеатры, согласно годовому отчету за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. "
Шторм,Москва,1,678,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Экран жизни,Москва,1,569,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Экспресс,Москва,2,262,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Эрмитаж,Москва,1,704,"8,4",Управление кинофикации Мосгорисполкома,"4,5",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
Юный зритель,Москва,2,361,"8,4",Управление кинофикации Мосгорисполкома,"3,98",ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ,"Указано усредненное количество сеансов в день, согласно общему годовому отчету по всем кинотеатрам за 1950 год: ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. ","Цена на билет искусственно сконструирована, отталкиваясь от усредненной цены билета в городские кинотеатры согласно общему говодому отчету  за 1950 год (3-98 руб.): ЦГАМ. Ф. Р-265. Оп. 1. Д. 23. Описание методики реконструкции см. в статье."
